                EO      EH
M@C2N   Hf  -4.854493344    0.101019304
M@C2N   Ir  -1.232402624    -1.013189256
M@C2N   Mn  -1.18590708 -1.587388328
M@C2N   Mo  -3.165729664    0.080280936
M@C2N   Nb  -4.2220214  0.607565992
M@C2N   Ni  -0.322003936    -1.703455624
M@C2N   Os  -2.31001372 -0.40638908
M@C2N   Pd  0.57463944  -1.823003976
M@C2N   Pt  -0.6328794  -1.391808632
M@C2N   Re  -3.367682184    -0.030139368
M@C2N   Rh  -0.47530164 -1.316835232
M@C2N   Ru  -1.71282684 -0.7968172
M@C2N   Ta  -4.680853168    0.703832096
M@C2N   Tc  -2.639447064    -0.08551204
M@C2N   Ti  -4.1999894  0.326877904
M@C2N   V   -3.392058824    0.008089008
M@C2N   W   -3.9325896  0.307611736
M@C2N   Zr  -4.854029992    0.393921688
M@a-Al2O3   Au  0.550446672 -2.204254272
M@a-Al2O3   Co  0.125536568 -1.919600696
M@a-Al2O3   Cr  -2.746909504    -0.536671368
M@a-Al2O3   Cu  1.471957784 -2.365688992
M@a-Al2O3   Fe  -0.792268408    -1.353175792
M@a-Al2O3   Ir  -2.591834416    0.103801864
M@a-Al2O3   Mn  -2.410494192    -0.462464464
M@a-Al2O3   Mo  -4.572606144    0.523028256
M@a-Al2O3   Ni  0.50742348  -1.867220432
M@a-Al2O3   Pd  0.066112728 -1.303232648
M@a-Al2O3   Pt  -1.0273134  -0.983646248
M@a-Al2O3   Rh  -1.516188928    -0.482354328
M@a-Al2O3   Ru  -3.006030304    -0.003501728
M@a-Al2O3   Tc  -3.97358204 0.672194688
M@a-Al2O3   Ti  -1.80411208 -2.81206248
M@a-Al2O3   V   -4.267862512    0.238723248
M@g-Al2O3   Ag  2.144525112 -2.56146276
M@g-Al2O3   Au  1.764170104 -2.465940168
M@g-Al2O3   Cd  2.366724768 -2.728268936
M@g-Al2O3   Co  -0.01756304 -1.63119284
M@g-Al2O3   Cr  -1.38784464 -0.699410464
M@g-Al2O3   Cu  1.653670104 -2.431066096
M@g-Al2O3   Fe  0.162514832 -1.783363512
M@g-Al2O3   Ir  -1.524012192    -1.0652778
M@g-Al2O3   Mn  -0.023127208    -1.903576904
M@g-Al2O3   Mo  -3.986964304    0.488976712
M@g-Al2O3   Ni  1.08518004  -2.3276536
M@g-Al2O3   Pd  0.761862208 -2.403243216
M@g-Al2O3   Pt  -0.037506352    -2.198958432
M@g-Al2O3   Rh  -0.575906416    -1.39345668
M@g-Al2O3   Ru  -1.927849368    -0.936543328
M@g-Al2O3   Sc  1.76347256  -2.848435136
M@g-Al2O3   Tc  -2.7944872  -0.358394816
M@g-Al2O3   Ti  -1.000651144    -2.453618432
M@g-Al2O3   V   -2.564185616    -0.35329808
M@g-Al2O3   Y   1.325009784 -2.841941952
M@g-Al2O3   Zn  2.04228752  -2.568896792
M@g-Al2O3   Zr  -1.562571864    -3.026285872
doped-Anatase-Ti-vac    Ag  2.23    -2.963753072
doped-Anatase-Ti-vac    Au  2.23    -3.184137128
